MonthYear,Time,SkyType,CCT,GlobalIllum,GlobalIrrad
13Feb18,11:22,CS,6861,43552,723
21Nov16,16:20,IS,5739,65943,384
21Nov16,16:25,IS,6316,42777,248
21Nov16,16:30,IS,6408,35315,282
22Nov16,11:30,OS,6166,33237,243
22Nov16,11:35,OS,6157,32549,259
22Nov16,11:40,OS,6143,33413,254
22Nov16,11:45,OS,6126,36207,293
22Nov16,11:50,OS,6139,42589,278
22Nov16,11:55,OS,6163,41949,248
22Nov16,12:00,OS,6185,40758,256
18Nov16,13:20,IS,6731,51328,338
18Nov16,13:25,IS,6449,59053,249
18Nov16,13:30,IS,6794,38942,293
18Nov16,13:35,IS,6508,54011,317
18Nov16,13:40,IS,6386,59280,372
18Nov16,13:50,IS,6564,29014,154
18Nov16,13:55,IS,6652,21830,162
18Nov16,14:00,IS,6572,22924,177
01Nov16,11:55,IS,6618,42169,931
07Dec16,8:00,MSIS,6286,13923,
07Dec16,8:05,MSIS,6402,15982,
13Dec16,6:45,MS,22133,30,
13Dec16,6:50,MS,16502,110,1
13Dec16,6:55,MS,15202,199,4
13Dec16,7:00,MS,9479,475,9
13Dec16,7:05,MS,7298,1057,19
13Dec16,7:10,MS,6422,2004,27
16Dec16,19:15,ESCS,16314,32,
16Dec16,19:00,ESCS,22024,204,
16Dec16,19:10,ESCS,19955,89,
24May18,12:39,CS,6452,57701,844
28May18,13:24,OS,6485,22570,193
25Jul18,18:46,ES,10268,3327,53
01May18,7:56,MSOS,6853,11211,147
28Jul18,15:11,CS,5811,87261,633
21Jul18,14:01,OS,6133,22688,158
11Aug18,18:45,ES,5495,5978,47
26Jul18,7:50,MS,8340,7099,92
18Feb18,8:46,MSOS,6584,16470,
18Feb18,7:49,MS,7420,4735,67
18Feb18,18:42,ES,7142,6082,51
06Apr17,18:07,ES,12749,5588,
17Nov16,11:53,IS,6618,42169,931